datetime,symbol,open,high,low,close,volume,bullish_fvg,bearish_fvg,buy_side_sweep,sell_side_sweep,bullish_mss,bearish_mss
2026-05-16 01:50:00,OANDA:XAUUSD,4560.66,4560.66,4558.335,4558.375,2583.0,False,False,False,False,False,True
2026-05-16 01:55:00,OANDA:XAUUSD,4558.385,4560.56,4557.22,4559.65,1666.0,False,False,False,True,False,False
2026-05-16 02:00:00,OANDA:XAUUSD,4559.685,4561.345,4558.275,4559.19,1984.0,False,False,False,False,False,False
2026-05-16 02:05:00,OANDA:XAUUSD,4559.23,4559.8,4556.11,4558.645,2201.0,False,False,False,True,False,False
2026-05-16 02:10:00,OANDA:XAUUSD,4558.64,4562.04,4558.035,4561.79,1773.0,False,False,False,False,True,False
2026-05-16 02:15:00,OANDA:XAUUSD,4561.785,4563.115,4553.065,4554.63,3784.0,False,False,True,True,False,True
2026-05-16 02:20:00,OANDA:XAUUSD,4554.645,4560.01,4554.535,4558.74,2960.0,False,False,False,False,False,False
2026-05-16 02:25:00,OANDA:XAUUSD,4558.745,4559.565,4556.465,4558.275,2778.0,False,False,False,False,False,False
2026-05-16 02:30:00,OANDA:XAUUSD,4558.3,4559.02,4552.415,4555.255,3656.0,False,False,False,True,False,True
2026-05-16 02:35:00,OANDA:XAUUSD,4555.43,4558.135,4554.8,4558.1,2503.0,False,False,False,False,False,False
2026-05-16 02:40:00,OANDA:XAUUSD,4558.095,4558.5,4555.715,4557.68,2229.0,False,False,False,False,False,False
2026-05-16 02:45:00,OANDA:XAUUSD,4557.675,4560.195,4556.68,4559.305,2185.0,True,False,True,False,True,False
2026-05-16 02:50:00,OANDA:XAUUSD,4559.34,4562.85,4559.34,4561.08,2059.0,False,False,True,False,True,False
2026-05-16 02:55:00,OANDA:XAUUSD,4561.085,4561.415,4558.415,4559.25,2530.0,False,False,False,False,False,True
2026-05-16 03:00:00,OANDA:XAUUSD,4559.255,4560.18,4554.31,4554.385,3151.0,False,True,False,True,False,True
2026-05-16 03:05:00,OANDA:XAUUSD,4554.395,4555.82,4551.61,4551.8,2749.0,False,True,False,True,False,True
2026-05-16 03:10:00,OANDA:XAUUSD,4551.825,4552.185,4549.53,4550.41,2720.0,False,False,False,True,False,True
2026-05-16 03:15:00,OANDA:XAUUSD,4550.415,4552.51,4549.015,4552.31,2065.0,False,False,False,True,True,False
2026-05-16 03:20:00,OANDA:XAUUSD,4552.3,4552.825,4550.115,4550.115,1534.0,False,False,False,False,False,False
2026-05-16 03:25:00,OANDA:XAUUSD,4550.13,4551.1,4548.66,4550.285,1763.0,False,False,False,True,False,False
2026-05-16 03:30:00,OANDA:XAUUSD,4550.38,4553.98,4549.88,4550.65,2027.0,False,False,False,False,False,False
2026-05-16 03:35:00,OANDA:XAUUSD,4550.685,4555.335,4549.765,4554.83,1908.0,False,False,True,False,True,False
2026-05-16 03:40:00,OANDA:XAUUSD,4554.845,4555.375,4552.65,4553.655,2014.0,False,False,True,False,False,False
2026-05-16 03:45:00,OANDA:XAUUSD,4553.645,4554.59,4551.72,4552.205,1861.0,False,True,False,False,False,True
2026-05-16 03:50:00,OANDA:XAUUSD,4552.125,4552.125,4548.515,4549.41,2827.0,False,True,False,True,False,True
2026-05-16 03:55:00,OANDA:XAUUSD,4549.395,4549.395,4545.1,4546.005,2781.0,False,True,False,True,False,True
2026-05-16 04:00:00,OANDA:XAUUSD,4546.01,4546.47,4539.225,4540.215,2035.0,False,True,False,True,False,True
2026-05-16 04:05:00,OANDA:XAUUSD,4540.245,4540.59,4536.365,4537.0,2345.0,False,False,False,True,False,True
2026-05-16 04:10:00,OANDA:XAUUSD,4537.045,4540.66,4536.76,4538.525,1818.0,False,False,False,False,False,False
2026-05-16 04:15:00,OANDA:XAUUSD,4538.525,4538.525,4535.655,4536.915,1714.0,False,False,False,True,False,False
2026-05-16 04:20:00,OANDA:XAUUSD,4536.895,4538.035,4533.34,4537.56,1826.0,False,False,False,True,False,False
2026-05-16 04:25:00,OANDA:XAUUSD,4537.565,4539.45,4536.595,4539.44,1389.0,True,False,False,False,True,False
2026-05-16 04:30:00,OANDA:XAUUSD,4539.46,4544.23,4539.375,4541.31,1988.0,False,False,True,False,True,False
